=== Training started for ResNet with strategy: full ===
Device: cuda, LR: 0.0001, Batch size: 50, Epochs: 20
[Strategy 3] Training all weights: 58,668,866 / 58,668,866 (100.00%)
[ResNet] Train Epoch 1: Loss=0.33834, Acc=0.87857
[ResNet] Val Epoch 1: Loss=0.13431, Acc=0.94222
[ResNet] Warning: very low grad mean (1.97e-06)
[ResNet] Warning: very low grad mean (3.56e-06)
[ResNet] Warning: very low grad mean (8.20e-06)
[ResNet] Warning: very low grad mean (3.12e-05)
[ResNet] Warning: very low grad mean (1.92e-06)
[ResNet] Warning: very low grad mean (3.90e-05)
[ResNet] Warning: very low grad mean (1.59e-06)
[ResNet] Warning: very low grad mean (5.51e-06)
[ResNet] Warning: very low grad mean (4.07e-06)
[ResNet] Warning: very low grad mean (4.38e-06)
[ResNet] Warning: very low grad mean (4.09e-06)
[ResNet] Warning: very low grad mean (5.89e-06)
[ResNet] Warning: very low grad mean (7.82e-06)
[ResNet] Warning: very low grad mean (2.67e-05)
[ResNet] Warning: very low grad mean (2.79e-05)
[ResNet] Warning: very low grad mean (9.22e-07)
[ResNet] Warning: very low grad mean (7.23e-06)
[ResNet] Train Epoch 6: Loss=0.00236, Acc=0.99952
[ResNet] Val Epoch 6: Loss=0.11186, Acc=0.96000
[ResNet] Warning: very low grad mean (9.23e-07)
[ResNet] Warning: very low grad mean (3.20e-06)
[ResNet] Warning: very low grad mean (2.97e-05)
[ResNet] Warning: very low grad mean (7.55e-06)
[ResNet] Warning: very low grad mean (2.15e-06)
[ResNet] Warning: very low grad mean (3.06e-06)
[ResNet] Warning: very low grad mean (1.52e-06)
[ResNet] Warning: very low grad mean (3.35e-05)
[ResNet] Warning: very low grad mean (3.58e-06)
[ResNet] Warning: very low grad mean (2.74e-06)
[ResNet] Warning: very low grad mean (2.01e-05)
[ResNet] Warning: very low grad mean (4.49e-06)
[ResNet] Warning: very low grad mean (1.76e-05)
[ResNet] Warning: very low grad mean (1.23e-06)
[ResNet] Warning: very low grad mean (2.54e-06)
[ResNet] Warning: very low grad mean (6.95e-06)
[ResNet] Warning: very low grad mean (3.15e-06)
[ResNet] Warning: very low grad mean (1.88e-05)
[ResNet] Warning: very low grad mean (1.20e-06)
[ResNet] Warning: very low grad mean (1.97e-05)
[ResNet] Warning: very low grad mean (6.15e-06)
[ResNet] Warning: very low grad mean (1.15e-05)
[ResNet] Warning: very low grad mean (1.46e-05)
[ResNet] Warning: very low grad mean (1.48e-06)
[ResNet] Warning: very low grad mean (8.84e-07)
[ResNet] Warning: very low grad mean (1.90e-06)
[ResNet] Warning: very low grad mean (5.49e-07)
[ResNet] Warning: very low grad mean (2.20e-05)
[ResNet] Warning: very low grad mean (2.80e-06)
[ResNet] Warning: very low grad mean (1.75e-06)
[ResNet] Warning: very low grad mean (6.31e-07)
[ResNet] Warning: very low grad mean (2.79e-06)
[ResNet] Warning: very low grad mean (1.76e-06)
[ResNet] Warning: very low grad mean (1.55e-05)
[ResNet] Warning: very low grad mean (8.72e-07)
[ResNet] Warning: very low grad mean (5.75e-06)
[ResNet] Warning: very low grad mean (3.79e-06)
[ResNet] Train Epoch 7: Loss=0.00581, Acc=0.99857
[ResNet] Val Epoch 7: Loss=0.15332, Acc=0.95333
[ResNet] Warning: very low grad mean (9.06e-06)
[ResNet] Warning: very low grad mean (1.72e-06)
[ResNet] Warning: very low grad mean (1.66e-05)
[ResNet] Warning: very low grad mean (1.90e-05)
[ResNet] Warning: very low grad mean (2.95e-05)
[ResNet] Warning: very low grad mean (9.10e-06)
[ResNet] Warning: very low grad mean (1.60e-05)
[ResNet] Warning: very low grad mean (7.07e-06)
[ResNet] Warning: very low grad mean (4.80e-06)
[ResNet] Warning: very low grad mean (5.04e-05)
[ResNet] Warning: very low grad mean (2.84e-05)
[ResNet] Warning: very low grad mean (6.22e-06)
[ResNet] Warning: very low grad mean (2.33e-05)
[ResNet] Warning: very low grad mean (2.86e-05)
[ResNet] Warning: very low grad mean (2.46e-05)
[ResNet] Warning: very low grad mean (5.27e-05)
[ResNet] Warning: very low grad mean (6.41e-05)
[ResNet] Warning: very low grad mean (2.63e-05)
[ResNet] Warning: very low grad mean (2.52e-05)
[ResNet] Warning: very low grad mean (1.87e-05)
[ResNet] Warning: very low grad mean (3.24e-05)
[ResNet] Warning: very low grad mean (6.48e-05)
[ResNet] Warning: very low grad mean (8.85e-05)
[ResNet] Warning: very low grad mean (4.03e-05)
[ResNet] Warning: very low grad mean (4.65e-05)
[ResNet] Warning: very low grad mean (5.45e-06)
[ResNet] Warning: very low grad mean (4.23e-05)
[ResNet] Train Epoch 8: Loss=0.01677, Acc=0.99476
[ResNet] Val Epoch 8: Loss=0.14548, Acc=0.95778
[ResNet] Warning: very low grad mean (5.77e-05)
[ResNet] Warning: very low grad mean (2.79e-06)
[ResNet] Warning: very low grad mean (5.77e-06)
[ResNet] Warning: very low grad mean (3.06e-05)
[ResNet] Warning: very low grad mean (1.99e-05)
[ResNet] Warning: very low grad mean (4.24e-06)
[ResNet] Warning: very low grad mean (3.37e-05)
[ResNet] Warning: very low grad mean (5.41e-06)
[ResNet] Warning: very low grad mean (5.87e-05)
[ResNet] Warning: very low grad mean (3.85e-06)
[ResNet] Warning: very low grad mean (1.19e-05)
[ResNet] Warning: very low grad mean (6.04e-05)
[ResNet] Warning: very low grad mean (1.91e-05)
[ResNet] Warning: very low grad mean (1.84e-05)
[ResNet] Warning: very low grad mean (6.43e-05)
[ResNet] Warning: very low grad mean (6.68e-05)
[ResNet] Warning: very low grad mean (2.14e-06)
[ResNet] Warning: very low grad mean (1.15e-05)
[ResNet] Warning: very low grad mean (5.93e-05)
[ResNet] Warning: very low grad mean (1.36e-05)
[ResNet] Warning: very low grad mean (5.18e-06)
[ResNet] Warning: very low grad mean (1.01e-05)
[ResNet] Warning: very low grad mean (6.62e-05)
[ResNet] Warning: very low grad mean (1.68e-05)
[ResNet] Warning: very low grad mean (7.35e-06)
[ResNet] Warning: very low grad mean (8.19e-05)
[ResNet] Warning: very low grad mean (7.67e-06)
[ResNet] Warning: very low grad mean (3.34e-06)
[ResNet] Warning: very low grad mean (4.08e-06)
[ResNet] Warning: very low grad mean (5.94e-06)
[ResNet] Warning: very low grad mean (5.73e-06)
[ResNet] Warning: very low grad mean (3.06e-06)
[ResNet] Warning: very low grad mean (1.63e-06)
[ResNet] Warning: very low grad mean (7.11e-06)
[ResNet] Warning: very low grad mean (3.71e-06)
[ResNet] Warning: very low grad mean (6.14e-05)
[ResNet] Train Epoch 9: Loss=0.00554, Acc=0.99810
[ResNet] Val Epoch 9: Loss=0.12253, Acc=0.96444
[ResNet] Warning: very low grad mean (3.02e-06)
[ResNet] Warning: very low grad mean (1.23e-05)
[ResNet] Warning: very low grad mean (4.62e-06)
[ResNet] Warning: very low grad mean (6.56e-05)
[ResNet] Warning: very low grad mean (5.76e-06)
[ResNet] Warning: very low grad mean (5.64e-06)
[ResNet] Warning: very low grad mean (1.22e-05)
[ResNet] Warning: very low grad mean (8.71e-05)
[ResNet] Warning: very low grad mean (6.45e-06)
[ResNet] Warning: very low grad mean (3.48e-06)
[ResNet] Warning: very low grad mean (3.99e-05)
[ResNet] Warning: very low grad mean (1.60e-05)
[ResNet] Warning: very low grad mean (4.79e-06)
[ResNet] Warning: very low grad mean (6.62e-06)
[ResNet] Warning: very low grad mean (4.56e-06)
[ResNet] Warning: very low grad mean (1.89e-06)
[ResNet] Warning: very low grad mean (1.40e-06)
[ResNet] Warning: very low grad mean (1.97e-06)
[ResNet] Warning: very low grad mean (3.04e-05)
[ResNet] Warning: very low grad mean (1.82e-05)
[ResNet] Warning: very low grad mean (2.37e-06)
[ResNet] Warning: very low grad mean (7.15e-05)
[ResNet] Warning: very low grad mean (3.87e-06)
[ResNet] Warning: very low grad mean (2.57e-05)
[ResNet] Warning: very low grad mean (3.16e-06)
[ResNet] Warning: very low grad mean (4.70e-05)
[ResNet] Warning: very low grad mean (2.66e-05)
[ResNet] Warning: very low grad mean (3.45e-06)
[ResNet] Warning: very low grad mean (8.63e-06)
[ResNet] Warning: very low grad mean (7.29e-06)
[ResNet] Warning: very low grad mean (6.33e-06)
[ResNet] Warning: very low grad mean (3.26e-06)
[ResNet] Warning: very low grad mean (7.96e-06)
[ResNet] Warning: very low grad mean (8.69e-06)
[ResNet] Warning: very low grad mean (9.07e-05)
[ResNet] Warning: very low grad mean (4.21e-06)
[ResNet] Warning: very low grad mean (1.13e-05)
[ResNet] Train Epoch 10: Loss=0.00378, Acc=0.99905
[ResNet] Val Epoch 10: Loss=0.13194, Acc=0.96222
[ResNet] Warning: very low grad mean (5.78e-05)
[ResNet] Warning: very low grad mean (3.39e-06)
[ResNet] Warning: very low grad mean (2.32e-06)
[ResNet] Warning: very low grad mean (2.55e-05)
[ResNet] Warning: very low grad mean (7.32e-05)
[ResNet] Warning: very low grad mean (4.46e-05)
[ResNet] Warning: very low grad mean (7.24e-06)
[ResNet] Warning: very low grad mean (2.09e-05)
[ResNet] Warning: very low grad mean (1.98e-06)
[ResNet] Warning: very low grad mean (4.37e-06)
[ResNet] Warning: very low grad mean (2.67e-06)
[ResNet] Warning: very low grad mean (1.16e-05)
[ResNet] Warning: very low grad mean (2.13e-05)
[ResNet] Warning: very low grad mean (1.58e-05)
[ResNet] Warning: very low grad mean (7.17e-07)
[ResNet] Warning: very low grad mean (3.76e-06)
[ResNet] Warning: very low grad mean (3.75e-05)
[ResNet] Warning: very low grad mean (5.46e-05)
[ResNet] Warning: very low grad mean (4.04e-06)
[ResNet] Warning: very low grad mean (9.58e-06)
[ResNet] Warning: very low grad mean (2.42e-05)
[ResNet] Warning: very low grad mean (3.65e-06)
[ResNet] Warning: very low grad mean (2.89e-05)
[ResNet] Warning: very low grad mean (5.00e-06)
[ResNet] Warning: very low grad mean (3.19e-05)
[ResNet] Warning: very low grad mean (1.36e-05)
[ResNet] Warning: very low grad mean (1.57e-05)
[ResNet] Warning: very low grad mean (1.65e-06)
[ResNet] Warning: very low grad mean (7.53e-06)
[ResNet] Warning: very low grad mean (5.02e-06)
[ResNet] Warning: very low grad mean (4.74e-05)
[ResNet] Warning: very low grad mean (2.21e-06)
[ResNet] Warning: very low grad mean (1.01e-05)
[ResNet] Warning: very low grad mean (4.79e-06)
[ResNet] Warning: very low grad mean (1.07e-05)
[ResNet] Warning: very low grad mean (2.85e-05)
[ResNet] Warning: very low grad mean (1.10e-05)
[ResNet] Warning: very low grad mean (8.85e-06)
[ResNet] Warning: very low grad mean (6.74e-06)
[ResNet] Train Epoch 11: Loss=0.00205, Acc=1.00000
[ResNet] Val Epoch 11: Loss=0.13577, Acc=0.96889
[ResNet] Warning: very low grad mean (1.25e-05)
[ResNet] Warning: very low grad mean (7.02e-05)
[ResNet] Warning: very low grad mean (2.79e-06)
[ResNet] Warning: very low grad mean (3.16e-06)
[ResNet] Warning: very low grad mean (1.00e-05)
[ResNet] Warning: very low grad mean (1.15e-05)
[ResNet] Warning: very low grad mean (1.26e-06)
[ResNet] Warning: very low grad mean (1.05e-06)
[ResNet] Warning: very low grad mean (1.48e-06)
[ResNet] Warning: very low grad mean (1.86e-06)
[ResNet] Warning: very low grad mean (1.05e-06)
[ResNet] Warning: very low grad mean (9.15e-07)
[ResNet] Warning: very low grad mean (8.34e-07)
[ResNet] Warning: very low grad mean (3.47e-06)
[ResNet] Warning: very low grad mean (1.14e-06)
[ResNet] Warning: very low grad mean (1.55e-05)
[ResNet] Warning: very low grad mean (1.13e-06)
[ResNet] Warning: very low grad mean (1.56e-06)
[ResNet] Warning: very low grad mean (3.37e-06)
[ResNet] Warning: very low grad mean (2.97e-05)
[ResNet] Warning: very low grad mean (5.85e-06)
[ResNet] Warning: very low grad mean (3.41e-05)
[ResNet] Warning: very low grad mean (3.24e-07)
[ResNet] Warning: very low grad mean (2.86e-06)
[ResNet] Warning: very low grad mean (4.04e-06)
[ResNet] Warning: very low grad mean (6.22e-07)
[ResNet] Warning: very low grad mean (1.31e-06)
[ResNet] Warning: very low grad mean (6.16e-06)
[ResNet] Warning: very low grad mean (1.06e-06)
[ResNet] Warning: very low grad mean (1.27e-06)
[ResNet] Warning: very low grad mean (2.17e-06)
[ResNet] Warning: very low grad mean (2.11e-06)
[ResNet] Warning: very low grad mean (1.63e-06)
[ResNet] Warning: very low grad mean (1.40e-06)
[ResNet] Warning: very low grad mean (4.68e-06)
[ResNet] Warning: very low grad mean (4.09e-06)
[ResNet] Warning: very low grad mean (1.45e-06)
[ResNet] Warning: very low grad mean (5.21e-07)
[ResNet] Warning: very low grad mean (8.04e-07)
[ResNet] Warning: very low grad mean (2.63e-06)
[ResNet] Warning: very low grad mean (2.34e-06)
[ResNet] Train Epoch 12: Loss=0.00236, Acc=0.99905
[ResNet] Val Epoch 12: Loss=0.16965, Acc=0.96444
[ResNet] Warning: very low grad mean (2.04e-06)
[ResNet] Warning: very low grad mean (4.62e-06)
[ResNet] Warning: very low grad mean (5.57e-06)
[ResNet] Warning: very low grad mean (2.84e-06)
[ResNet] Warning: very low grad mean (9.76e-05)
[ResNet] Warning: very low grad mean (2.95e-06)
[ResNet] Warning: very low grad mean (1.72e-05)
[ResNet] Warning: very low grad mean (2.62e-05)
[ResNet] Warning: very low grad mean (6.75e-06)
[ResNet] Warning: very low grad mean (1.02e-05)
[ResNet] Warning: very low grad mean (8.61e-06)
[ResNet] Warning: very low grad mean (2.21e-05)
[ResNet] Warning: very low grad mean (5.17e-06)
[ResNet] Warning: very low grad mean (3.58e-05)
[ResNet] Warning: very low grad mean (6.15e-05)
[ResNet] Warning: very low grad mean (9.03e-05)
[ResNet] Warning: very low grad mean (1.47e-05)
[ResNet] Warning: very low grad mean (1.39e-05)
[ResNet] Warning: very low grad mean (3.62e-06)
[ResNet] Warning: very low grad mean (4.81e-06)
[ResNet] Warning: very low grad mean (4.66e-05)
[ResNet] Warning: very low grad mean (1.83e-06)
[ResNet] Warning: very low grad mean (9.09e-06)
[ResNet] Warning: very low grad mean (3.05e-06)
[ResNet] Warning: very low grad mean (1.19e-05)
[ResNet] Warning: very low grad mean (1.23e-05)
[ResNet] Warning: very low grad mean (2.58e-05)
[ResNet] Warning: very low grad mean (2.75e-05)
[ResNet] Warning: very low grad mean (1.54e-05)
[ResNet] Warning: very low grad mean (9.54e-06)
[ResNet] Warning: very low grad mean (5.35e-06)
[ResNet] Warning: very low grad mean (9.76e-05)
[ResNet] Warning: very low grad mean (8.48e-06)
[ResNet] Warning: very low grad mean (6.85e-06)
[ResNet] Train Epoch 13: Loss=0.00777, Acc=0.99762
[ResNet] Val Epoch 13: Loss=0.20598, Acc=0.95111
[ResNet] Early stopping on epoch 13
Accuracy on Test: 0.96667
=== Training finished for ResNet ===

