=== Training started for Eva with strategy: full ===
Device: cuda, LR: 0.0001, Batch size: 50, Epochs: 20
[Strategy 3] Training all weights: 85,838,594 / 85,838,594 (100.00%)
[Eva] Train Epoch 1: Loss=0.19624, Acc=0.93095
[Eva] Val Epoch 1: Loss=0.08796, Acc=0.96667
[Eva] Warning: very low grad mean (5.96e-05)
[Eva] Warning: very low grad mean (4.16e-05)
[Eva] Warning: very low grad mean (7.59e-06)
[Eva] Warning: very low grad mean (6.53e-05)
[Eva] Warning: very low grad mean (9.56e-05)
[Eva] Warning: very low grad mean (1.10e-05)
[Eva] Warning: very low grad mean (1.98e-05)
[Eva] Warning: very low grad mean (3.75e-05)
[Eva] Warning: very low grad mean (4.21e-05)
[Eva] Warning: very low grad mean (9.65e-06)
[Eva] Warning: very low grad mean (3.19e-05)
[Eva] Warning: very low grad mean (1.02e-05)
[Eva] Warning: very low grad mean (8.46e-06)
[Eva] Warning: very low grad mean (9.86e-06)
[Eva] Warning: very low grad mean (4.97e-05)
[Eva] Warning: very low grad mean (3.02e-05)
[Eva] Warning: very low grad mean (1.27e-05)
[Eva] Warning: very low grad mean (8.88e-06)
[Eva] Train Epoch 4: Loss=0.00565, Acc=0.99952
[Eva] Val Epoch 4: Loss=0.08828, Acc=0.97333
[Eva] Warning: very low grad mean (5.87e-06)
[Eva] Warning: very low grad mean (2.28e-05)
[Eva] Warning: very low grad mean (1.44e-05)
[Eva] Warning: very low grad mean (2.13e-05)
[Eva] Warning: very low grad mean (8.39e-05)
[Eva] Warning: very low grad mean (4.51e-06)
[Eva] Warning: very low grad mean (3.00e-05)
[Eva] Warning: very low grad mean (7.18e-06)
[Eva] Warning: very low grad mean (3.32e-05)
[Eva] Warning: very low grad mean (1.19e-05)
[Eva] Warning: very low grad mean (1.11e-05)
[Eva] Warning: very low grad mean (9.83e-06)
[Eva] Warning: very low grad mean (6.40e-05)
[Eva] Warning: very low grad mean (2.17e-05)
[Eva] Warning: very low grad mean (5.70e-06)
[Eva] Warning: very low grad mean (1.35e-05)
[Eva] Warning: very low grad mean (9.28e-06)
[Eva] Warning: very low grad mean (6.09e-05)
[Eva] Warning: very low grad mean (3.05e-05)
[Eva] Warning: very low grad mean (3.17e-05)
[Eva] Warning: very low grad mean (1.45e-05)
[Eva] Warning: very low grad mean (1.62e-05)
[Eva] Warning: very low grad mean (9.64e-06)
[Eva] Warning: very low grad mean (9.99e-06)
[Eva] Warning: very low grad mean (1.39e-05)
[Eva] Warning: very low grad mean (4.65e-06)
[Eva] Warning: very low grad mean (5.31e-06)
[Eva] Warning: very low grad mean (8.85e-06)
[Eva] Warning: very low grad mean (5.70e-06)
[Eva] Warning: very low grad mean (5.29e-05)
[Eva] Warning: very low grad mean (1.32e-05)
[Eva] Train Epoch 5: Loss=0.00786, Acc=0.99810
[Eva] Val Epoch 5: Loss=0.06553, Acc=0.98444
[Eva] Warning: very low grad mean (7.09e-05)
[Eva] Warning: very low grad mean (1.52e-05)
[Eva] Warning: very low grad mean (5.51e-06)
[Eva] Warning: very low grad mean (4.87e-06)
[Eva] Warning: very low grad mean (8.78e-06)
[Eva] Warning: very low grad mean (7.61e-06)
[Eva] Warning: very low grad mean (5.70e-05)
[Eva] Warning: very low grad mean (8.67e-06)
[Eva] Warning: very low grad mean (1.38e-05)
[Eva] Warning: very low grad mean (6.31e-05)
[Eva] Warning: very low grad mean (1.03e-05)
[Eva] Warning: very low grad mean (6.43e-05)
[Eva] Warning: very low grad mean (4.17e-05)
[Eva] Warning: very low grad mean (2.88e-05)
[Eva] Warning: very low grad mean (2.07e-05)
[Eva] Warning: very low grad mean (4.95e-05)
[Eva] Warning: very low grad mean (5.04e-06)
[Eva] Warning: very low grad mean (7.48e-06)
[Eva] Warning: very low grad mean (4.81e-06)
[Eva] Warning: very low grad mean (1.08e-05)
[Eva] Warning: very low grad mean (2.40e-06)
[Eva] Warning: very low grad mean (7.11e-06)
[Eva] Warning: very low grad mean (2.75e-06)
[Eva] Warning: very low grad mean (4.05e-06)
[Eva] Warning: very low grad mean (1.24e-05)
[Eva] Warning: very low grad mean (2.14e-06)
[Eva] Warning: very low grad mean (3.38e-06)
[Eva] Warning: very low grad mean (1.13e-05)
[Eva] Warning: very low grad mean (8.10e-06)
[Eva] Warning: very low grad mean (2.22e-06)
[Eva] Warning: very low grad mean (4.48e-06)
[Eva] Warning: very low grad mean (5.43e-05)
[Eva] Warning: very low grad mean (1.42e-05)
[Eva] Warning: very low grad mean (7.23e-06)
[Eva] Warning: very low grad mean (1.11e-05)
[Eva] Warning: very low grad mean (4.58e-06)
[Eva] Train Epoch 6: Loss=0.00245, Acc=0.99952
[Eva] Val Epoch 6: Loss=0.07570, Acc=0.98222
[Eva] Warning: very low grad mean (1.25e-05)
[Eva] Warning: very low grad mean (2.38e-06)
[Eva] Warning: very low grad mean (2.05e-06)
[Eva] Warning: very low grad mean (7.80e-05)
[Eva] Warning: very low grad mean (8.41e-06)
[Eva] Warning: very low grad mean (5.38e-06)
[Eva] Warning: very low grad mean (6.85e-06)
[Eva] Warning: very low grad mean (2.47e-05)
[Eva] Warning: very low grad mean (3.08e-05)
[Eva] Warning: very low grad mean (2.31e-05)
[Eva] Warning: very low grad mean (1.68e-06)
[Eva] Warning: very low grad mean (6.29e-06)
[Eva] Warning: very low grad mean (1.82e-06)
[Eva] Warning: very low grad mean (4.51e-06)
[Eva] Warning: very low grad mean (3.21e-06)
[Eva] Warning: very low grad mean (2.68e-06)
[Eva] Warning: very low grad mean (3.10e-06)
[Eva] Warning: very low grad mean (6.17e-05)
[Eva] Warning: very low grad mean (3.10e-06)
[Eva] Warning: very low grad mean (1.23e-05)
[Eva] Warning: very low grad mean (2.34e-05)
[Eva] Warning: very low grad mean (1.37e-05)
[Eva] Warning: very low grad mean (3.83e-05)
[Eva] Warning: very low grad mean (5.73e-05)
[Eva] Warning: very low grad mean (9.82e-05)
[Eva] Train Epoch 7: Loss=0.01411, Acc=0.99619
[Eva] Val Epoch 7: Loss=0.16511, Acc=0.96000
[Eva] Warning: very low grad mean (4.80e-05)
[Eva] Warning: very low grad mean (2.12e-05)
[Eva] Warning: very low grad mean (7.79e-06)
[Eva] Warning: very low grad mean (4.13e-05)
[Eva] Warning: very low grad mean (1.42e-05)
[Eva] Warning: very low grad mean (8.63e-05)
[Eva] Warning: very low grad mean (3.70e-05)
[Eva] Warning: very low grad mean (8.22e-06)
[Eva] Warning: very low grad mean (1.01e-05)
[Eva] Warning: very low grad mean (4.45e-05)
[Eva] Warning: very low grad mean (3.61e-05)
[Eva] Warning: very low grad mean (6.56e-05)
[Eva] Warning: very low grad mean (6.69e-05)
[Eva] Warning: very low grad mean (3.14e-06)
[Eva] Warning: very low grad mean (7.43e-05)
[Eva] Warning: very low grad mean (2.46e-05)
[Eva] Warning: very low grad mean (3.78e-05)
[Eva] Warning: very low grad mean (4.13e-05)
[Eva] Warning: very low grad mean (1.60e-05)
[Eva] Warning: very low grad mean (9.75e-06)
[Eva] Warning: very low grad mean (5.44e-06)
[Eva] Warning: very low grad mean (2.30e-05)
[Eva] Warning: very low grad mean (6.06e-06)
[Eva] Warning: very low grad mean (3.13e-05)
[Eva] Warning: very low grad mean (1.54e-05)
[Eva] Train Epoch 8: Loss=0.01437, Acc=0.99619
[Eva] Val Epoch 8: Loss=0.07771, Acc=0.98222
[Eva] Warning: very low grad mean (5.75e-05)
[Eva] Warning: very low grad mean (8.29e-05)
[Eva] Warning: very low grad mean (3.76e-05)
[Eva] Warning: very low grad mean (7.78e-05)
[Eva] Warning: very low grad mean (2.27e-05)
[Eva] Warning: very low grad mean (7.56e-06)
[Eva] Warning: very low grad mean (1.46e-05)
[Eva] Warning: very low grad mean (1.58e-05)
[Eva] Warning: very low grad mean (1.11e-05)
[Eva] Warning: very low grad mean (3.32e-05)
[Eva] Warning: very low grad mean (2.45e-05)
[Eva] Warning: very low grad mean (2.88e-05)
[Eva] Warning: very low grad mean (3.80e-05)
[Eva] Warning: very low grad mean (2.44e-05)
[Eva] Warning: very low grad mean (5.04e-05)
[Eva] Train Epoch 9: Loss=0.03962, Acc=0.98810
[Eva] Val Epoch 9: Loss=0.13073, Acc=0.96000
[Eva] Warning: very low grad mean (1.46e-05)
[Eva] Warning: very low grad mean (2.39e-05)
[Eva] Warning: very low grad mean (2.02e-05)
[Eva] Warning: very low grad mean (1.16e-05)
[Eva] Warning: very low grad mean (7.36e-05)
[Eva] Warning: very low grad mean (3.52e-05)
[Eva] Warning: very low grad mean (1.68e-05)
[Eva] Warning: very low grad mean (6.92e-05)
[Eva] Warning: very low grad mean (2.82e-05)
[Eva] Warning: very low grad mean (4.62e-05)
[Eva] Warning: very low grad mean (1.44e-05)
[Eva] Warning: very low grad mean (3.02e-05)
[Eva] Warning: very low grad mean (2.14e-05)
[Eva] Warning: very low grad mean (1.89e-05)
[Eva] Warning: very low grad mean (1.77e-05)
[Eva] Warning: very low grad mean (9.93e-05)
[Eva] Warning: very low grad mean (1.68e-05)
[Eva] Train Epoch 10: Loss=0.01847, Acc=0.99429
[Eva] Val Epoch 10: Loss=0.15608, Acc=0.96667
[Eva] Warning: very low grad mean (1.16e-05)
[Eva] Warning: very low grad mean (1.06e-05)
[Eva] Warning: very low grad mean (6.78e-05)
[Eva] Warning: very low grad mean (3.52e-06)
[Eva] Warning: very low grad mean (2.73e-05)
[Eva] Warning: very low grad mean (2.85e-05)
[Eva] Warning: very low grad mean (8.88e-06)
[Eva] Warning: very low grad mean (2.52e-05)
[Eva] Warning: very low grad mean (3.01e-05)
[Eva] Warning: very low grad mean (2.00e-05)
[Eva] Warning: very low grad mean (1.78e-05)
[Eva] Warning: very low grad mean (1.45e-05)
[Eva] Warning: very low grad mean (4.38e-05)
[Eva] Warning: very low grad mean (4.60e-06)
[Eva] Warning: very low grad mean (1.76e-05)
[Eva] Warning: very low grad mean (1.80e-05)
[Eva] Warning: very low grad mean (2.94e-05)
[Eva] Warning: very low grad mean (5.90e-05)
[Eva] Warning: very low grad mean (7.17e-05)
[Eva] Warning: very low grad mean (1.91e-05)
[Eva] Warning: very low grad mean (7.65e-05)
[Eva] Warning: very low grad mean (2.67e-05)
[Eva] Train Epoch 11: Loss=0.01674, Acc=0.99524
[Eva] Val Epoch 11: Loss=0.05801, Acc=0.98000
[Eva] Warning: very low grad mean (1.37e-05)
[Eva] Warning: very low grad mean (2.49e-05)
[Eva] Warning: very low grad mean (8.62e-06)
[Eva] Warning: very low grad mean (3.53e-05)
[Eva] Warning: very low grad mean (6.00e-06)
[Eva] Warning: very low grad mean (1.48e-05)
[Eva] Warning: very low grad mean (2.56e-05)
[Eva] Warning: very low grad mean (3.66e-06)
[Eva] Warning: very low grad mean (8.56e-06)
[Eva] Warning: very low grad mean (3.57e-06)
[Eva] Warning: very low grad mean (2.47e-05)
[Eva] Warning: very low grad mean (7.49e-06)
[Eva] Warning: very low grad mean (4.41e-06)
[Eva] Warning: very low grad mean (1.07e-05)
[Eva] Warning: very low grad mean (4.04e-05)
[Eva] Warning: very low grad mean (2.47e-05)
[Eva] Warning: very low grad mean (5.39e-05)
[Eva] Warning: very low grad mean (1.03e-05)
[Eva] Warning: very low grad mean (1.69e-05)
[Eva] Warning: very low grad mean (6.05e-05)
[Eva] Warning: very low grad mean (6.64e-05)
[Eva] Warning: very low grad mean (2.20e-05)
[Eva] Warning: very low grad mean (2.66e-05)
[Eva] Warning: very low grad mean (2.87e-05)
[Eva] Warning: very low grad mean (4.92e-05)
[Eva] Warning: very low grad mean (4.61e-06)
[Eva] Warning: very low grad mean (5.94e-05)
[Eva] Warning: very low grad mean (8.67e-06)
[Eva] Warning: very low grad mean (3.58e-06)
[Eva] Train Epoch 12: Loss=0.00859, Acc=0.99810
[Eva] Val Epoch 12: Loss=0.06040, Acc=0.98667
[Eva] Warning: very low grad mean (2.89e-06)
[Eva] Warning: very low grad mean (1.09e-05)
[Eva] Warning: very low grad mean (2.81e-05)
[Eva] Warning: very low grad mean (1.90e-05)
[Eva] Warning: very low grad mean (1.04e-05)
[Eva] Warning: very low grad mean (1.21e-05)
[Eva] Warning: very low grad mean (1.91e-05)
[Eva] Warning: very low grad mean (5.81e-06)
[Eva] Warning: very low grad mean (1.97e-05)
[Eva] Warning: very low grad mean (6.95e-05)
[Eva] Warning: very low grad mean (3.55e-06)
[Eva] Warning: very low grad mean (4.78e-06)
[Eva] Warning: very low grad mean (1.41e-05)
[Eva] Warning: very low grad mean (2.94e-06)
[Eva] Warning: very low grad mean (2.27e-06)
[Eva] Warning: very low grad mean (3.20e-06)
[Eva] Warning: very low grad mean (2.79e-06)
[Eva] Warning: very low grad mean (2.72e-06)
[Eva] Warning: very low grad mean (6.39e-05)
[Eva] Warning: very low grad mean (4.85e-06)
[Eva] Warning: very low grad mean (2.84e-06)
[Eva] Warning: very low grad mean (4.90e-05)
[Eva] Warning: very low grad mean (4.62e-06)
[Eva] Warning: very low grad mean (8.23e-06)
[Eva] Warning: very low grad mean (1.97e-05)
[Eva] Warning: very low grad mean (3.47e-06)
[Eva] Warning: very low grad mean (7.80e-05)
[Eva] Warning: very low grad mean (7.50e-06)
[Eva] Warning: very low grad mean (1.05e-05)
[Eva] Warning: very low grad mean (2.14e-05)
[Eva] Warning: very low grad mean (8.14e-06)
[Eva] Warning: very low grad mean (2.27e-05)
[Eva] Train Epoch 13: Loss=0.00836, Acc=0.99762
[Eva] Val Epoch 13: Loss=0.14559, Acc=0.96444
[Eva] Warning: very low grad mean (3.55e-05)
[Eva] Warning: very low grad mean (8.56e-06)
[Eva] Warning: very low grad mean (9.45e-06)
[Eva] Warning: very low grad mean (1.02e-05)
[Eva] Warning: very low grad mean (4.53e-06)
[Eva] Warning: very low grad mean (1.75e-05)
[Eva] Warning: very low grad mean (8.16e-05)
[Eva] Warning: very low grad mean (3.11e-05)
[Eva] Warning: very low grad mean (8.89e-05)
[Eva] Warning: very low grad mean (6.92e-05)
[Eva] Warning: very low grad mean (4.21e-05)
[Eva] Warning: very low grad mean (4.20e-05)
[Eva] Warning: very low grad mean (3.49e-05)
[Eva] Warning: very low grad mean (2.29e-05)
[Eva] Warning: very low grad mean (1.50e-05)
[Eva] Warning: very low grad mean (1.33e-05)
[Eva] Warning: very low grad mean (9.47e-05)
[Eva] Warning: very low grad mean (4.02e-05)
[Eva] Warning: very low grad mean (5.66e-05)
[Eva] Warning: very low grad mean (1.94e-05)
[Eva] Warning: very low grad mean (2.41e-05)
[Eva] Warning: very low grad mean (1.74e-05)
[Eva] Train Epoch 14: Loss=0.02546, Acc=0.99143
[Eva] Val Epoch 14: Loss=0.09497, Acc=0.97333
[Eva] Warning: very low grad mean (8.50e-05)
[Eva] Warning: very low grad mean (7.06e-05)
[Eva] Warning: very low grad mean (2.53e-05)
[Eva] Warning: very low grad mean (5.02e-05)
[Eva] Warning: very low grad mean (9.06e-05)
[Eva] Warning: very low grad mean (7.94e-06)
[Eva] Warning: very low grad mean (1.39e-05)
[Eva] Warning: very low grad mean (1.73e-05)
[Eva] Warning: very low grad mean (7.28e-06)
[Eva] Warning: very low grad mean (1.45e-05)
[Eva] Warning: very low grad mean (1.10e-05)
[Eva] Warning: very low grad mean (5.39e-05)
[Eva] Warning: very low grad mean (8.54e-06)
[Eva] Warning: very low grad mean (2.19e-05)
[Eva] Warning: very low grad mean (7.03e-06)
[Eva] Warning: very low grad mean (5.95e-06)
[Eva] Warning: very low grad mean (2.71e-05)
[Eva] Warning: very low grad mean (2.46e-05)
[Eva] Warning: very low grad mean (8.19e-06)
[Eva] Warning: very low grad mean (2.34e-05)
[Eva] Train Epoch 15: Loss=0.01627, Acc=0.99381
[Eva] Val Epoch 15: Loss=0.09089, Acc=0.97778
[Eva] Warning: very low grad mean (3.93e-05)
[Eva] Warning: very low grad mean (4.18e-05)
[Eva] Warning: very low grad mean (1.36e-05)
[Eva] Warning: very low grad mean (1.86e-05)
[Eva] Warning: very low grad mean (1.30e-05)
[Eva] Warning: very low grad mean (7.71e-05)
[Eva] Warning: very low grad mean (1.06e-05)
[Eva] Warning: very low grad mean (7.40e-05)
[Eva] Warning: very low grad mean (9.30e-05)
[Eva] Warning: very low grad mean (1.87e-05)
[Eva] Warning: very low grad mean (4.92e-05)
[Eva] Warning: very low grad mean (2.24e-05)
[Eva] Warning: very low grad mean (1.46e-05)
[Eva] Train Epoch 16: Loss=0.02409, Acc=0.99190
[Eva] Val Epoch 16: Loss=0.08348, Acc=0.97556
[Eva] Warning: very low grad mean (9.37e-06)
[Eva] Warning: very low grad mean (8.13e-06)
[Eva] Warning: very low grad mean (5.69e-05)
[Eva] Warning: very low grad mean (1.29e-05)
[Eva] Warning: very low grad mean (3.30e-05)
[Eva] Warning: very low grad mean (1.70e-05)
[Eva] Warning: very low grad mean (2.78e-05)
[Eva] Warning: very low grad mean (1.88e-05)
[Eva] Warning: very low grad mean (1.51e-05)
[Eva] Warning: very low grad mean (3.59e-05)
[Eva] Warning: very low grad mean (1.63e-05)
[Eva] Warning: very low grad mean (7.09e-05)
[Eva] Warning: very low grad mean (4.56e-05)
[Eva] Warning: very low grad mean (5.36e-05)
[Eva] Warning: very low grad mean (1.80e-05)
[Eva] Warning: very low grad mean (5.95e-05)
[Eva] Warning: very low grad mean (1.05e-05)
[Eva] Warning: very low grad mean (7.12e-05)
[Eva] Warning: very low grad mean (9.25e-05)
[Eva] Warning: very low grad mean (1.88e-05)
[Eva] Warning: very low grad mean (7.58e-05)
[Eva] Train Epoch 17: Loss=0.02628, Acc=0.99286
[Eva] Val Epoch 17: Loss=0.08526, Acc=0.97333
[Eva] Warning: very low grad mean (4.68e-05)
[Eva] Warning: very low grad mean (7.71e-05)
[Eva] Warning: very low grad mean (4.15e-05)
[Eva] Warning: very low grad mean (5.78e-05)
[Eva] Warning: very low grad mean (3.83e-05)
[Eva] Warning: very low grad mean (2.98e-05)
[Eva] Warning: very low grad mean (5.68e-05)
[Eva] Warning: very low grad mean (2.66e-05)
[Eva] Warning: very low grad mean (8.98e-06)
[Eva] Warning: very low grad mean (6.42e-05)
[Eva] Warning: very low grad mean (6.90e-05)
[Eva] Warning: very low grad mean (2.17e-05)
[Eva] Warning: very low grad mean (1.17e-05)
[Eva] Warning: very low grad mean (4.99e-06)
[Eva] Warning: very low grad mean (9.05e-06)
[Eva] Warning: very low grad mean (4.14e-06)
[Eva] Warning: very low grad mean (1.27e-05)
[Eva] Warning: very low grad mean (1.07e-05)
[Eva] Warning: very low grad mean (4.13e-05)
[Eva] Warning: very low grad mean (4.11e-06)
[Eva] Warning: very low grad mean (1.70e-05)
[Eva] Warning: very low grad mean (4.03e-06)
[Eva] Warning: very low grad mean (7.00e-06)
[Eva] Warning: very low grad mean (2.56e-06)
[Eva] Warning: very low grad mean (4.30e-06)
[Eva] Warning: very low grad mean (3.36e-06)
[Eva] Warning: very low grad mean (2.28e-06)
[Eva] Warning: very low grad mean (1.78e-05)
[Eva] Warning: very low grad mean (6.16e-05)
[Eva] Train Epoch 18: Loss=0.00725, Acc=0.99857
[Eva] Val Epoch 18: Loss=0.13614, Acc=0.96667
[Eva] Warning: very low grad mean (8.30e-06)
[Eva] Warning: very low grad mean (3.56e-05)
[Eva] Warning: very low grad mean (1.08e-05)
[Eva] Warning: very low grad mean (8.98e-05)
[Eva] Warning: very low grad mean (1.82e-06)
[Eva] Warning: very low grad mean (3.77e-06)
[Eva] Warning: very low grad mean (3.00e-06)
[Eva] Warning: very low grad mean (5.54e-05)
[Eva] Warning: very low grad mean (4.44e-05)
[Eva] Warning: very low grad mean (3.99e-06)
[Eva] Warning: very low grad mean (2.53e-06)
[Eva] Warning: very low grad mean (9.09e-06)
[Eva] Warning: very low grad mean (3.77e-06)
[Eva] Warning: very low grad mean (4.24e-05)
[Eva] Warning: very low grad mean (1.19e-06)
[Eva] Warning: very low grad mean (9.92e-06)
[Eva] Warning: very low grad mean (1.50e-06)
[Eva] Warning: very low grad mean (1.63e-06)
[Eva] Warning: very low grad mean (3.89e-06)
[Eva] Warning: very low grad mean (1.77e-06)
[Eva] Warning: very low grad mean (1.50e-06)
[Eva] Warning: very low grad mean (2.07e-06)
[Eva] Warning: very low grad mean (1.82e-06)
[Eva] Warning: very low grad mean (7.65e-05)
[Eva] Warning: very low grad mean (1.39e-06)
[Eva] Warning: very low grad mean (3.59e-06)
[Eva] Warning: very low grad mean (1.77e-06)
[Eva] Warning: very low grad mean (9.12e-07)
[Eva] Warning: very low grad mean (2.17e-06)
[Eva] Warning: very low grad mean (1.64e-06)
[Eva] Warning: very low grad mean (3.35e-06)
[Eva] Warning: very low grad mean (1.49e-05)
[Eva] Warning: very low grad mean (6.32e-06)
[Eva] Warning: very low grad mean (1.33e-06)
[Eva] Warning: very low grad mean (5.54e-05)
[Eva] Warning: very low grad mean (3.53e-06)
[Eva] Warning: very low grad mean (4.00e-06)
[Eva] Warning: very low grad mean (9.95e-05)
[Eva] Warning: very low grad mean (2.69e-06)
[Eva] Train Epoch 19: Loss=0.00123, Acc=1.00000
[Eva] Val Epoch 19: Loss=0.11242, Acc=0.97556
[Eva] Warning: very low grad mean (1.08e-06)
[Eva] Warning: very low grad mean (1.55e-06)
[Eva] Warning: very low grad mean (2.87e-06)
[Eva] Warning: very low grad mean (2.54e-06)
[Eva] Warning: very low grad mean (1.66e-06)
[Eva] Warning: very low grad mean (2.96e-06)
[Eva] Warning: very low grad mean (3.21e-06)
[Eva] Warning: very low grad mean (1.75e-06)
[Eva] Warning: very low grad mean (2.92e-06)
[Eva] Warning: very low grad mean (6.35e-07)
[Eva] Warning: very low grad mean (4.80e-05)
[Eva] Warning: very low grad mean (1.50e-06)
[Eva] Warning: very low grad mean (1.82e-06)
[Eva] Warning: very low grad mean (1.06e-06)
[Eva] Warning: very low grad mean (2.49e-06)
[Eva] Warning: very low grad mean (7.08e-07)
[Eva] Warning: very low grad mean (1.39e-06)
[Eva] Warning: very low grad mean (1.12e-06)
[Eva] Warning: very low grad mean (1.72e-06)
[Eva] Warning: very low grad mean (1.49e-05)
[Eva] Warning: very low grad mean (2.45e-06)
[Eva] Warning: very low grad mean (1.52e-06)
[Eva] Warning: very low grad mean (1.00e-06)
[Eva] Warning: very low grad mean (9.02e-07)
[Eva] Warning: very low grad mean (1.02e-06)
[Eva] Warning: very low grad mean (2.65e-06)
[Eva] Warning: very low grad mean (2.87e-06)
[Eva] Warning: very low grad mean (2.28e-06)
[Eva] Warning: very low grad mean (5.85e-06)
[Eva] Warning: very low grad mean (2.75e-06)
[Eva] Warning: very low grad mean (1.09e-06)
[Eva] Warning: very low grad mean (1.58e-06)
[Eva] Warning: very low grad mean (3.93e-05)
[Eva] Warning: very low grad mean (2.76e-06)
[Eva] Warning: very low grad mean (4.17e-06)
[Eva] Warning: very low grad mean (9.97e-07)
[Eva] Warning: very low grad mean (4.68e-06)
[Eva] Warning: very low grad mean (2.04e-06)
[Eva] Warning: very low grad mean (1.03e-06)
[Eva] Train Epoch 20: Loss=0.00061, Acc=1.00000
[Eva] Val Epoch 20: Loss=0.14364, Acc=0.96889
Accuracy on Test: 0.97556
=== Training finished for Eva ===

